Cube, Angle, Time Spent (s)
15B, 100, 6.940021
6A, 50, 2.752306
3A, 50, 2.664446
8B, 100, 8.847626
1A, 100, 8.257267
4B, 150, 12.20492
6B, 50, 8.007984
12A, 50, 2.992538
11B, 50, 2.185478
