Cube, Angle, Time Spent (s)
6B, 50, 3.881993
9A, 50, 2.175005
10A, 100, 6.17102
11B, 50, 2.15349
4B, 50, 4.393871
11B, 100, 5.591879
8A, 50, 3.950241
3A, 50, 2.269909
3B, 50, 2.461964
